trip_id,driver_id,rider_id,city,pickup_lat,pickup_lng,drop_lat,drop_lng,distance_km,fare_amount,status,payment_method,pickup_time,drop_time
41,8513,41807,San Francisco,37.831503,-103.8762716,37.87609503,-103.8803223,8.09,21.92,Completed,Card,01-01-2023 00:40,04:16.2
42,3612,25966,Los Angeles,38.08523017,-87.06926711,38.06207462,-87.11348631,9.07,21.72,Completed,Wallet,01-01-2023 00:41,08:12.6
43,8041,14258,Los Angeles,39.05903089,-118.9566781,39.03797431,-118.9662136,10.21,16.31,Completed,Card,01-01-2023 00:42,12:37.8
44,7235,16923,New York,38.53161244,-102.0476443,38.57340759,-102.0516014,12.02,27.82,Completed,Wallet,01-01-2023 00:43,19:03.6
45,6486,35605,Boston,40.73782745,-85.37707291,40.74904693,-85.33048092,12.4,24.29,Cancelled,Cash,01-01-2023 00:44,21:12.0
46,8099,44092,San Francisco,40.3674405,-95.98780134,40.36157905,-96.0013687,1.99,5.48,No-Show,Wallet,01-01-2023 00:45,50:58.2
47,1775,42868,Los Angeles,37.8328673,-87.3882555,37.78456936,-87.3615288,4.49,12.8,Completed,Wallet,01-01-2023 00:46,59:28.2
48,9226,26799,Los Angeles,40.79287125,-94.80001079,40.79278384,-94.78116262,6.86,19.92,No-Show,UPI,01-01-2023 00:47,07:34.8
49,4152,96979,Boston,37.86779584,-104.8947662,37.8249944,-104.9077057,4.62,10.52,Completed,Cash,01-01-2023 00:48,01:51.6
50,2585,85111,New York,39.38613797,-108.3823988,39.41685385,-108.3695917,12.27,24.77,Cancelled,UPI,01-01-2023 00:49,25:48.6
51,4943,56210,New York,38.22757154,-98.85871964,38.27170268,-98.86929232,9.45,15.87,Completed,Card,01-01-2023 00:50,18:21.0
52,8555,25230,New York,38.13881598,-108.3493015,38.10016292,-108.3252243,7.43,20.51,Completed,Wallet,01-01-2023 00:51,13:17.4
53,4073,28130,Los Angeles,39.16120326,-99.05396616,39.17247137,-99.02489739,8.35,23.61,Completed,UPI,01-01-2023 00:52,17:03.0
54,2021,30875,Los Angeles,40.78763253,-103.7739022,40.83256685,-103.7612737,3.98,10.12,Completed,Cash,01-01-2023 00:53,04:56.4
55,4843,72908,Los Angeles,38.67557371,-114.0658811,38.69920575,-114.0262313,10.94,28.99,Completed,Card,01-01-2023 00:54,26:49.2
56,8989,90163,Seattle,38.12535094,-87.37954334,38.11441894,-87.40172314,8.24,19.03,Completed,UPI,01-01-2023 00:55,19:43.2
57,7873,34041,Seattle,38.00121635,-112.1085574,38.04295068,-112.1216548,6.74,15.99,Completed,Wallet,01-01-2023 00:56,16:13.2
58,6675,14443,Los Angeles,38.23632097,-73.62604292,38.23749065,-73.59338629,10.95,16.44,Completed,UPI,01-01-2023 00:57,29:51.0
59,1161,19480,Los Angeles,38.7786296,-76.39450099,38.76211271,-76.43854836,7.75,17.34,Completed,Cash,01-01-2023 00:58,21:15.0
60,5297,64012,Los Angeles,40.49255634,-74.36136262,40.4592353,-74.36454704,9.34,27.04,Cancelled,Wallet,01-01-2023 00:59,27:01.2
61,1995,71483,Chicago,38.2590833,-93.49713372,38.21846334,-93.50179371,0.37,5.22,Completed,Wallet,01-01-2023 01:00,01:06.6
62,8629,14170,Seattle,38.08967662,-116.3851311,38.10200468,-116.3771703,4.4,8.95,Completed,Card,01-01-2023 01:01,14:12.0
63,2016,98129,San Francisco,39.29682235,-74.3521184,39.25434059,-74.3602794,3.5,10.02,No-Show,Cash,01-01-2023 01:02,12:30.0
64,8869,42805,New York,39.36468726,-112.8270401,39.35750126,-112.8438284,3.52,10.76,Completed,Cash,01-01-2023 01:03,13:33.6
65,7439,51725,San Francisco,38.78264422,-89.53814435,38.79791926,-89.51249577,7.03,18.65,No-Show,Card,01-01-2023 01:04,25:05.4
66,8892,54837,Seattle,37.76242315,-121.7853995,37.75228029,-121.8056639,12.71,31.17,Completed,Card,01-01-2023 01:05,43:07.8
67,7863,53424,Boston,37.76436628,-82.2873272,37.8025032,-82.29599047,4.17,12.04,Cancelled,UPI,01-01-2023 01:06,18:30.6
68,8916,14806,New York,39.08074055,-96.1741238,39.10673637,-96.19538669,9.15,14.33,Completed,Wallet,01-01-2023 01:07,34:27.0
69,9529,47611,Seattle,38.13959576,-108.7381284,38.16214873,-108.7303902,12.07,18.71,Completed,Cash,01-01-2023 01:08,44:12.6
70,1878,26662,New York,37.61215559,-116.2410777,37.57610822,-116.2345705,13.15,20.62,Cancelled,Wallet,01-01-2023 01:09,48:27.0
71,5887,59605,Los Angeles,37.10570359,-84.41901364,37.14980131,-84.42303398,5.18,11.08,Completed,Wallet,01-01-2023 01:10,25:32.4
72,5859,96623,Los Angeles,37.5371492,-120.4393351,37.49553312,-120.4170327,11.33,28.91,Completed,Cash,01-01-2023 01:11,44:59.4
73,7331,56128,Boston,40.32462469,-89.80395359,40.32555245,-89.83304084,10.69,29.77,No-Show,Cash,01-01-2023 01:12,44:04.2
74,9571,30848,San Francisco,37.62331915,-76.49347814,37.59908856,-76.51832057,10.31,14.94,Completed,Wallet,01-01-2023 01:13,43:55.8
75,9684,59452,San Francisco,37.01083244,-100.198357,37.01647467,-100.1708361,1.99,5.31,Cancelled,UPI,01-01-2023 01:14,19:58.2
76,8208,16042,San Francisco,38.56544618,-111.1760279,38.52865396,-111.1261745,6.04,9.51,Cancelled,UPI,01-01-2023 01:15,33:07.2
77,6276,80602,Boston,40.71262546,-118.9092092,40.74047898,-118.9196535,8.19,23.71,Completed,Cash,01-01-2023 01:16,40:34.2
78,3062,76864,Chicago,39.08609884,-109.2102133,39.11231856,-109.1602585,10.2,15.66,Cancelled,Card,01-01-2023 01:17,47:36.0
79,1064,81929,San Francisco,37.04114499,-96.12210222,37.01046138,-96.09178041,7.66,17.76,Cancelled,Cash,01-01-2023 01:18,40:58.8
80,9006,69323,New York,39.83709507,-78.30242448,39.83811752,-78.3137865,8.41,16.51,Completed,Card,01-01-2023 01:19,44:13.8
81,3568,89297,New York,38.60277952,-87.75601188,38.59870961,-87.77208154,8.77,22.24,Completed,Card,01-01-2023 01:20,46:18.6
82,6463,24182,Los Angeles,40.07498001,-87.19115983,40.04358012,-87.22415903,5.18,10.83,Completed,Card,01-01-2023 01:21,36:32.4
83,3027,24394,Seattle,39.38738021,-99.28709476,39.42009456,-99.26292122,4.6,8.52,Cancelled,UPI,01-01-2023 01:22,35:48.0
84,3695,66540,Los Angeles,37.5578607,-78.2509415,37.58839881,-78.25979698,9.18,21.84,Cancelled,UPI,01-01-2023 01:23,50:32.4
85,6258,23883,San Francisco,38.88753151,-79.64735847,38.93584579,-79.66895836,4.37,10.57,No-Show,Wallet,01-01-2023 01:24,37:06.6
86,6618,27941,San Francisco,39.22088541,-109.7858338,39.1726396,-109.7427141,1.82,7.01,Completed,Wallet,01-01-2023 01:25,30:27.6
87,7736,32360,Los Angeles,39.00165535,-96.96419373,38.96797886,-97.01125187,7.29,18.83,Cancelled,Wallet,01-01-2023 01:26,47:52.2
88,1391,66681,Seattle,40.15058249,-112.7045028,40.14581825,-112.6874894,6.97,19.52,Completed,Card,01-01-2023 01:27,47:54.6
89,6892,74048,New York,40.39847125,-99.2276589,40.34942622,-99.27049275,2.96,4.97,Completed,UPI,01-01-2023 01:28,36:52.8
90,4561,66271,Seattle,39.66655338,-77.30825046,39.64375952,-77.33222471,10.48,25.39,Completed,Wallet,01-01-2023 01:29,00:26.4
91,7184,18720,Boston,37.14930136,-88.82434249,37.14763941,-88.80997983,4.27,13.48,Completed,Card,01-01-2023 01:30,42:48.6
92,4099,84225,Boston,38.40991112,-116.938807,38.40893866,-116.9733793,4.29,12.96,Completed,Wallet,01-01-2023 01:31,43:52.2
93,7278,49550,Boston,38.47543119,-87.44245269,38.44070791,-87.4188375,1.76,6.65,Completed,Card,01-01-2023 01:32,37:16.8
94,9392,82682,San Francisco,37.88993499,-78.98895354,37.90961384,-78.95686419,6.13,11.34,Completed,Wallet,01-01-2023 01:33,51:23.4
95,4104,17914,Boston,38.71051869,-89.24086737,38.7356192,-89.21593161,7.32,19.38,Cancelled,UPI,01-01-2023 01:34,55:57.6
96,8215,72953,Chicago,37.75085519,-120.2840388,37.70785665,-120.235542,7.91,18.68,Completed,Card,01-01-2023 01:35,58:43.8
97,3454,94765,Seattle,40.02231145,-120.8376145,39.99621541,-120.8622499,6.8,15.13,Completed,Cash,01-01-2023 01:36,56:24.0
98,9996,61277,San Francisco,40.33768481,-121.5945493,40.33791486,-121.6094772,2.15,9.22,Cancelled,Wallet,01-01-2023 01:37,43:27.0
99,3731,82877,Seattle,40.73755918,-83.30682057,40.73152175,-83.27268819,4.98,13.58,No-Show,Wallet,01-01-2023 01:38,52:56.4
100,9154,75129,Chicago,37.05649446,-85.72414861,37.04050111,-85.70426169,5.59,14.51,Completed,Card,01-01-2023 01:39,55:46.2
101,6056,25391,San Francisco,39.15518532,-113.7751112,39.12149517,-113.7669719,13.45,28.31,Completed,Card,01-01-2023 01:40,20:21.0
102,9110,39285,San Francisco,37.83636829,-83.48299802,37.82401902,-83.46930112,5.92,15.82,Completed,UPI,01-01-2023 01:41,58:45.6
103,4840,46106,Boston,39.12310929,-112.4670448,39.15296473,-112.4811904,9.45,15.35,Completed,Cash,01-01-2023 01:42,10:21.0
104,2028,67588,San Francisco,37.28311668,-77.26790087,37.29485136,-77.27536351,7.89,11.77,Completed,UPI,01-01-2023 01:43,06:40.2
105,8385,76405,Chicago,40.0610768,-103.2520026,40.02345839,-103.251202,6.88,11.48,Completed,Cash,01-01-2023 01:44,04:38.4
106,1502,82320,Seattle,38.17958027,-121.5373682,38.18317855,-121.5840518,9.84,24.36,Completed,Wallet,01-01-2023 01:45,14:31.2
107,7910,96029,New York,39.26671286,-74.00401292,39.21912615,-73.99402758,5.81,9.97,Completed,UPI,01-01-2023 01:46,03:25.8
108,7938,17042,Chicago,40.18624448,-73.34571197,40.16524989,-73.39512234,10.83,29.34,Completed,Wallet,01-01-2023 01:47,19:29.4
109,5488,76221,Los Angeles,38.73659546,-73.40537403,38.70958709,-73.41292745,6.37,14.54,Completed,Card,01-01-2023 01:48,07:06.6
110,1206,91293,Seattle,40.97138116,-117.4246768,40.96790505,-117.4648252,8.47,20.19,Completed,Card,01-01-2023 01:49,14:24.6
111,6134,61126,San Francisco,40.22075321,-118.6084967,40.22658926,-118.568982,3.8,10.07,Completed,UPI,01-01-2023 01:50,01:24.0
112,6977,66746,Chicago,38.69455213,-99.90124789,38.70290066,-99.93373069,8.59,21.83,Completed,Wallet,01-01-2023 01:51,16:46.2
113,8721,85112,Boston,39.81844161,-108.0910204,39.78893321,-108.0838757,7.22,14.27,Completed,Wallet,01-01-2023 01:52,13:39.6
114,8035,96058,Los Angeles,39.67861363,-96.26304851,39.69033394,-96.22161712,5.54,9.27,No-Show,Cash,01-01-2023 01:53,09:37.2
115,2484,41340,New York,37.17360554,-84.31172106,37.14743821,-84.32648834,5.66,15.31,Completed,Card,01-01-2023 01:54,10:58.8
116,8858,33793,Chicago,38.48298848,-119.0366771,38.49781183,-119.0248821,3.96,12.02,Completed,Card,01-01-2023 01:55,06:52.8
117,1863,70470,Chicago,39.1022899,-119.278729,39.11990316,-119.2380848,3.8,10.55,Completed,UPI,01-01-2023 01:56,07:24.0
118,3790,26950,Chicago,38.66012964,-106.5207278,38.68649521,-106.4826231,9.34,15.66,Completed,Card,01-01-2023 01:57,25:01.2
119,8408,38493,Los Angeles,37.72776174,-107.3691176,37.75150553,-107.3832853,0.05,4.92,Completed,Card,01-01-2023 01:58,58:09.0
120,9755,85193,Boston,39.64619423,-78.09685112,39.60794698,-78.12225066,5.06,12.72,Completed,Wallet,01-01-2023 01:59,14:10.8
121,6116,87930,Los Angeles,40.95184669,-100.0966547,40.97280895,-100.047732,7.24,16.38,Completed,UPI,01-01-2023 02:00,21:43.2
122,7019,70914,Boston,38.3627947,-118.4406793,38.32432445,-118.435738,11.21,17.3,Completed,Cash,01-01-2023 02:01,34:37.8
123,2757,45233,Boston,40.84032354,-113.3116923,40.83143819,-113.3264301,5.56,11.62,Completed,UPI,01-01-2023 02:02,18:40.8
124,8574,41039,New York,40.02589241,-106.9807568,40.03081147,-107.0273056,8.23,22.23,Completed,Cash,01-01-2023 02:03,27:41.4
125,7374,14348,San Francisco,38.31284269,-84.95333793,38.31297825,-84.93760325,5.34,12.85,Completed,Card,01-01-2023 02:04,20:01.2
126,7892,13926,Seattle,38.67867507,-84.49378047,38.64405446,-84.46647214,5.19,12.74,Cancelled,Cash,01-01-2023 02:05,20:34.2
127,2678,33943,San Francisco,39.50811304,-91.48103483,39.52746568,-91.52914312,7,13.76,Completed,Cash,01-01-2023 02:06,27:00.0
128,4242,87241,Chicago,39.99109948,-110.5622017,39.98473612,-110.5905837,13.27,36.72,Cancelled,Card,01-01-2023 02:07,46:48.6
129,5636,79546,San Francisco,39.98756191,-113.646639,39.98383777,-113.6812197,11.38,26.7,Completed,Wallet,01-01-2023 02:08,42:08.4
130,2059,11400,Seattle,39.56449439,-87.9185342,39.56144619,-87.87024294,6.36,16.01,Completed,Card,01-01-2023 02:09,28:04.8
131,7668,92660,Chicago,37.44977838,-100.2148151,37.48828134,-100.1831521,2.35,5.05,Completed,Wallet,01-01-2023 02:10,17:03.0
132,4157,27086,Los Angeles,40.4166668,-96.56465014,40.44206547,-96.57495868,4.71,14.49,Completed,Cash,01-01-2023 02:11,25:07.8
133,6915,16255,San Francisco,38.06897564,-116.8383965,38.10958311,-116.8687889,11.39,21.1,Completed,Cash,01-01-2023 02:12,46:10.2
134,3693,47156,New York,37.70118248,-115.5455495,37.67748505,-115.5016343,9.8,19.53,Cancelled,Card,01-01-2023 02:13,42:24.0
135,4627,51915,New York,37.84852852,-82.46091791,37.84068503,-82.4386138,7.74,19.14,Completed,UPI,01-01-2023 02:14,37:13.2
136,6450,35449,New York,37.16173568,-83.63699502,37.20235087,-83.61131617,5.6,14.91,Completed,UPI,01-01-2023 02:15,31:48.0
137,2663,42765,Los Angeles,39.94309573,-78.24456321,39.92719425,-78.25079572,1.53,5.77,Completed,Cash,01-01-2023 02:16,20:35.4
138,6592,82663,Chicago,37.20763405,-83.85848527,37.17475428,-83.89790625,7.5,21.21,Completed,UPI,01-01-2023 02:17,39:30.0
139,8392,70722,Los Angeles,37.16719179,-81.5429035,37.21058372,-81.58355296,7.35,19.6,Completed,Cash,01-01-2023 02:18,40:03.0
140,2306,44588,Los Angeles,37.00640681,-103.33173,37.05543967,-103.3159738,9.69,16.4,Completed,Card,01-01-2023 02:19,48:04.2
141,7776,34290,Los Angeles,37.01895747,-87.91294262,37.05439567,-87.86755053,9.87,27.16,Completed,Wallet,01-01-2023 02:20,49:36.6
142,6864,63896,Boston,39.71987268,-110.9354899,39.76114046,-110.9304878,9.88,21.3,Completed,Cash,01-01-2023 02:21,50:38.4
143,8526,41699,Los Angeles,38.98145371,-104.4037994,38.95618567,-104.3760612,7.81,23.46,Completed,Card,01-01-2023 02:22,45:25.8
144,9901,27763,San Francisco,39.68927651,-118.3142205,39.6730281,-118.339528,8.18,23.03,Completed,UPI,01-01-2023 02:23,47:32.4
145,6575,72923,Chicago,37.92703868,-114.5682428,37.88202257,-114.5697699,3.34,6.69,Completed,Card,01-01-2023 02:24,34:01.2
146,6530,67622,New York,39.87785419,-76.13913978,39.87063066,-76.1840707,11.17,26.03,Completed,Card,01-01-2023 02:25,58:30.6
147,5413,99958,Seattle,38.24627469,-102.2148794,38.24816472,-102.1955865,6.56,15.47,Completed,Card,01-01-2023 02:26,45:40.8
148,4748,14347,Boston,38.98837909,-81.94377367,39.03690111,-81.93941972,8.55,17.13,Completed,Card,01-01-2023 02:27,52:39.0
149,1663,35607,Chicago,40.4498862,-98.61328819,40.46676785,-98.56592429,8.99,19.3,Completed,Cash,01-01-2023 02:28,54:58.2
150,2998,39257,Chicago,37.25883281,-118.1770401,37.22396179,-118.2241935,8.63,18.69,Completed,Card,01-01-2023 02:29,54:53.4
151,8994,93263,Los Angeles,40.42097491,-83.72133545,40.42509702,-83.67363933,0.95,2.57,Completed,Cash,01-01-2023 02:30,32:51.0
152,2495,31654,New York,38.32603084,-88.45337888,38.35750021,-88.44524668,9.53,22.09,Completed,UPI,01-01-2023 02:31,59:35.4
153,4304,92524,Chicago,37.98254425,-107.0227036,38.0149988,-107.0234734,9.67,25.2,No-Show,Wallet,01-01-2023 02:32,01:00.6
154,4763,32903,San Francisco,40.39524005,-117.3042493,40.41868537,-117.3292168,0.58,5.71,Completed,Wallet,01-01-2023 02:33,34:44.4
155,6232,20847,New York,39.78000277,-73.31983146,39.81175609,-73.27759086,4.98,11.4,Completed,Cash,01-01-2023 02:34,48:56.4
156,2853,98503,San Francisco,38.18397108,-78.50206024,38.14384857,-78.5508095,9.16,16.09,No-Show,Wallet,01-01-2023 02:35,02:28.8
157,7585,57245,Boston,39.78740633,-94.5565548,39.77008102,-94.60476125,2.82,8,Completed,Wallet,01-01-2023 02:36,44:27.6
158,2291,10591,Chicago,40.61394361,-75.85926094,40.59145737,-75.84429654,8.18,19.22,Completed,Card,01-01-2023 02:37,01:32.4
159,4581,34422,Boston,40.48194099,-80.45930453,40.4550227,-80.50542035,3.89,12.46,Completed,Wallet,01-01-2023 02:38,49:40.2
160,8554,73215,San Francisco,40.224968,-101.5070788,40.25128822,-101.5059733,1.23,4.42,Completed,Cash,01-01-2023 02:39,42:41.4
161,8280,65315,Boston,40.98701375,-120.8139627,40.96584077,-120.787743,10.88,23.25,Completed,Wallet,01-01-2023 02:40,12:38.4
162,2636,95874,San Francisco,37.67547378,-97.14018054,37.63691491,-97.09762946,7.01,15.6,Completed,Card,01-01-2023 02:41,02:01.8
163,4696,57048,Los Angeles,39.99763818,-101.972083,40.02032688,-101.9614342,6.52,16.47,Completed,Wallet,01-01-2023 02:42,01:33.6
164,1698,49547,Los Angeles,38.17770578,-117.7518696,38.19136975,-117.750644,4.73,14.96,Completed,Wallet,01-01-2023 02:43,57:11.4
165,5737,77812,Boston,40.72748162,-94.93560351,40.701011,-94.91411254,5.18,9.44,Cancelled,UPI,01-01-2023 02:44,59:32.4
166,1854,37220,Seattle,37.32187051,-97.84367317,37.34009374,-97.82857165,8.14,18.89,Completed,Cash,01-01-2023 02:45,09:25.2
167,9164,71417,Seattle,39.67063946,-100.8131158,39.65307323,-100.7722017,8.35,19.16,Completed,UPI,01-01-2023 02:46,11:03.0
168,6855,49844,San Francisco,37.80795669,-84.62386937,37.76628806,-84.62278637,11.44,23.13,Completed,UPI,01-01-2023 02:47,21:19.2
169,8392,93996,Chicago,40.96206805,-107.1321248,40.97491988,-107.1238291,5.28,9.29,Completed,UPI,01-01-2023 02:48,03:50.4
170,7528,57238,New York,39.07857438,-80.5351224,39.05970282,-80.56408324,3.06,7.72,Completed,UPI,01-01-2023 02:49,58:10.8
171,6249,10100,Boston,39.13245698,-113.0834155,39.16663039,-113.0770761,8.66,25.31,Completed,Wallet,01-01-2023 02:50,15:58.8
172,6172,18567,Chicago,39.10930282,-110.8538882,39.08280492,-110.8226274,4.97,11.54,Completed,Wallet,01-01-2023 02:51,05:54.6
173,2707,84373,San Francisco,40.03530634,-107.9578692,40.0323459,-107.9947629,6.84,19.28,Cancelled,Wallet,01-01-2023 02:52,12:31.2
174,6791,75427,San Francisco,40.88559959,-100.5253815,40.84441285,-100.5126078,7.96,15.09,Completed,Card,01-01-2023 02:53,16:52.8
175,6535,13382,Boston,40.84250489,-81.08708351,40.80840758,-81.04942734,10.77,24.27,No-Show,UPI,01-01-2023 02:54,26:18.6
176,5931,70855,Chicago,37.93323302,-89.31922974,37.98191832,-89.2911749,5.96,15.29,Completed,Card,01-01-2023 02:55,12:52.8
177,4510,32344,Seattle,39.23499905,-100.1083849,39.25645542,-100.1196117,10.36,24.9,Completed,Wallet,01-01-2023 02:56,27:04.8
178,1202,70872,Boston,39.18350193,-93.34184027,39.20467692,-93.3353509,3.57,8.37,Completed,UPI,01-01-2023 02:57,07:42.6
179,5218,65495,Los Angeles,37.49814097,-104.3709074,37.46549095,-104.3941682,12.95,22.99,Completed,Wallet,01-01-2023 02:58,36:51.0
180,9958,63968,San Francisco,39.78846715,-109.3839018,39.83005964,-109.3614919,6.04,11.39,Completed,UPI,01-01-2023 02:59,17:07.2
181,5389,89447,Los Angeles,40.03641107,-86.9896452,40.00726803,-87.02281695,5.99,14.62,Completed,Wallet,01-01-2023 03:00,17:58.2
182,3327,61175,Boston,40.47723068,-113.4153775,40.4868149,-113.3789245,7.64,16.48,Completed,UPI,01-01-2023 03:01,23:55.2
183,9004,82828,San Francisco,39.94212365,-118.5717206,39.92955666,-118.5303004,12.08,18.12,Cancelled,UPI,01-01-2023 03:02,38:14.4
184,3931,39142,Seattle,37.47469164,-81.68215537,37.47185738,-81.6981558,3.66,10.4,Completed,Wallet,01-01-2023 03:03,13:58.8
185,8777,27429,Seattle,40.67585223,-88.36639752,40.63277026,-88.34681546,8.7,18.73,Completed,UPI,01-01-2023 03:04,30:06.0
186,1197,28481,Boston,37.84358765,-102.9119933,37.87789856,-102.9319507,9.99,26.52,Completed,UPI,01-01-2023 03:05,34:58.2
187,8125,63973,Seattle,39.43833191,-99.50387197,39.39179207,-99.46477084,6.41,17.76,Completed,Card,01-01-2023 03:06,25:13.8
188,2930,30250,New York,39.57956236,-111.6760639,39.54006187,-111.6350273,7.06,10.96,Cancelled,Wallet,01-01-2023 03:07,28:10.8
189,7287,98129,Chicago,37.60800295,-75.6244275,37.59993275,-75.61627878,5.24,16.45,No-Show,Cash,01-01-2023 03:08,23:43.2
190,9800,36590,San Francisco,38.37324088,-75.13088583,38.41464735,-75.09456229,7.33,15.79,No-Show,Card,01-01-2023 03:09,30:59.4
191,5282,74641,Seattle,38.19931943,-78.04924259,38.211061,-78.04481573,8.01,19.18,Completed,Card,01-01-2023 03:10,34:01.8
